"filename", "language", "Python", "comment", "blank", "total"
"d:\9月份\9月28日-10月7日\module_compare\user_funn\bc.py", "Python", 18, 0, 0, 18
"d:\9月份\9月28日-10月7日\module_compare\user_funn\ds.py", "Python", 36, 20, 9, 65
"d:\9月份\9月28日-10月7日\module_compare\user_funn\field.py", "Python", 102, 23, 28, 153
"d:\9月份\9月28日-10月7日\module_compare\user_funn\geom.py", "Python", 19, 0, 4, 23
"d:\9月份\9月28日-10月7日\module_compare\user_funn\get_net.py", "Python", 103, 5, 10, 118
"d:\9月份\9月28日-10月7日\module_compare\user_funn\paraview_read.py", "Python", 12, 0, 0, 12
"d:\9月份\9月28日-10月7日\module_compare\user_funn\pde.py", "Python", 5, 0, 1, 6
"d:\9月份\9月28日-10月7日\module_compare\user_funn\plot.py", "Python", 24, 11, 6, 41
"d:\9月份\9月28日-10月7日\module_compare\user_funn\solver.py", "Python", 123, 74, 33, 230
"Total", "-", 442, 133, 91, 666
